"dates","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2015-07-06",96.767006,98.158928,96.633537,97.605972,2373162,86.490196
"2015-07-07",97.644104,98.177994,96.33799,98.044525,2480151,86.878799
"2015-07-08",97.24369,97.615509,96.051979,96.261719,2460956,85.299042
"2015-07-09",97.548767,97.930115,96.423798,96.461929,2853773,85.476433
"2015-07-10",97.234161,97.882446,96.843277,97.634575,2700212,86.515533
"2015-07-13",98.52121,99.026489,98.311462,98.931152,1687279,87.664452
"2015-07-14",98.883484,99.541313,98.578407,99.2267,1513789,87.926353
"2015-07-15",99.2267,99.588982,98.730949,98.997894,2869087,87.723618
"2015-07-16",99.998932,99.998932,98.225662,98.740479,4854781,87.495514
"2015-07-17",100.027527,101.648262,99.407837,100.618622,5708699,89.159752
"2015-07-20",100.771156,101.810333,100.609085,101.40992,4743806,89.860947
"2015-07-21",101.076241,101.438515,100.284943,100.485146,3906565,89.041473
"2015-07-22",100.447014,100.599548,99.63665,99.855927,3280680,88.48391
"2015-07-23",99.894058,100.551888,99.350639,99.455505,2485185,88.129105
"2015-07-24",99.3125,99.646179,97.529701,97.977783,2940413,86.819672
"2015-07-27",97.24369,97.291359,96.633537,96.900475,3452282,85.865044
"2015-07-28",97.911049,99.646179,97.529701,99.341103,4120962,88.02771
"2015-07-29",99.341103,100.904633,99.10276,100.618622,2698744,89.159752
"2015-07-30",100.122864,100.837898,99.741524,100.46608,2320611,89.024574
"2015-07-31",100.828362,100.980904,100.037064,100.151466,2075795,88.745804
"2015-08-03",100.122864,100.122864,99.055092,99.817787,2462948,88.450111
"2015-08-04",99.836861,100.485146,99.236237,99.741524,3016669,88.382538
"2015-08-05",100.580482,101.314575,100.34214,100.799759,2051670,89.320244
"2015-08-06",100.866493,101.343178,100.485146,100.856964,2228517,89.370956
"2015-08-07",100.733025,100.999969,100.094269,100.542351,1910906,89.092178
"2015-08-10",101.486183,102.401421,101.37178,102.296547,2324178,90.646591
"2015-08-11",101.162041,101.49572,99.63665,100.456551,3392598,89.016129
"2015-08-12",100.38028,100.847427,98.797684,100.618622,3834505,89.159752
"2015-08-13",100.084732,100.96183,99.741524,100.599548,2173659,89.142853
"2015-08-14",100.733025,101.257378,100.523285,101.133438,1654133,89.615921
"2015-08-17",100.637688,101.390846,99.827324,101.324112,2393720,89.784904
"2015-08-18",100.837898,101.69593,100.647224,101.257378,3594619,90.165222
"2015-08-19",100.580482,101.047638,99.913124,100.141937,2611265,89.171982
"2015-08-20",99.236237,99.445976,97.815712,97.853851,4193442,87.134529
"2015-08-21",97.119751,97.291359,94.240578,94.26918,7715896,83.942543
